
handle,position,image_url,alt_text
chain-bracelet,1,https://burst.shopifycdn.com/photos/7-chakra-bracelet_925x.jpg,
chain-bracelet,2,https://burst.shopifycdn.com/photos/navy-blue-chakra-bracelet_925x.jpg,
leather-anchor,1,https://burst.shopifycdn.com/photos/anchor-bracelet-mens_925x.jpg,
leather-anchor,2,https://burst.shopifycdn.com/photos/anchor-bracelet-for-men_925x.jpg,
leather-anchor,3,https://burst.shopifycdn.com/photos/leather-anchor-bracelet-for-men_925x.jpg,
bangle-bracelet,1,https://burst.shopifycdn.com/photos/bangle-bracelet-with-jewels_925x.jpg,
bangle-bracelet-with-feathers,1,https://burst.shopifycdn.com/photos/bangle-bracelet-with-feathers_925x.jpg,
boho-earrings,1,https://burst.shopifycdn.com/photos/boho-earrings_925x.jpg,
boho-earrings,2,https://burst.shopifycdn.com/photos/inspired-woman_925x.jpg,
boho-earrings,3,https://burst.shopifycdn.com/photos/necklace-earrings-set_925x.jpg,
choker-with-bead,1,https://burst.shopifycdn.com/photos/black-choker-with-bead_925x.jpg,
choker-with-bead,2,https://burst.shopifycdn.com/photos/choker-with-bead_925x.jpg,
choker-with-gold-pendant,1,https://burst.shopifycdn.com/photos/choker-with-gold-pendant_925x.jpg,
choker-with-gold-pendant,2,https://burst.shopifycdn.com/photos/choker-pendant-closeup_925x.jpg,
choker-with-triangle,1,https://burst.shopifycdn.com/photos/choker-with-triangle_925x.jpg,
dainty-gold-neclace,1,https://burst.shopifycdn.com/photos/dainty-gold-necklace_925x.jpg,
dainty-gold-neclace,2,https://burst.shopifycdn.com/photos/womens-gold-necklace_925x.jpg,
dreamcatcher-pendant-necklace,1,https://burst.shopifycdn.com/photos/dreamcatcher-pendant-necklace_925x.jpg,
dreamcatcher-pendant-necklace,2,https://burst.shopifycdn.com/photos/gold-dream-catcher-necklace_925x.jpg,
galaxy-earrings,1,https://burst.shopifycdn.com/photos/galaxy-earrings_925x.jpg,
gemstone,1,https://burst.shopifycdn.com/photos/blue-gemstone-pendant_925x.jpg,
gemstone,2,https://burst.shopifycdn.com/photos/gemstone-necklace_925x.jpg,
gemstone,3,https://burst.shopifycdn.com/photos/womens-necklace_925x.jpg,
gemstone,4,https://burst.shopifycdn.com/photos/purple-gemstone-necklace_925x.jpg,
gold-bird-necklace,1,https://burst.shopifycdn.com/photos/gold-bird-necklace_925x.jpg,
looped-earrings,1,https://burst.shopifycdn.com/photos/elephant-earrings_925x.jpg,
guardian-angel-earrings,1,https://burst.shopifycdn.com/photos/guardian-angel-earrings_925x.jpg,
guardian-angel-earrings,2,https://burst.shopifycdn.com/photos/guardian-angel-earring-closeup_925x.jpg,
moon-charm-bracelet,1,https://burst.shopifycdn.com/photos/womens-hand-moon-bracelet-_925x.jpg,
moon-charm-bracelet,2,https://burst.shopifycdn.com/photos/moon-friendship-bracelet_925x.jpg,
moon-charm-bracelet,3,https://burst.shopifycdn.com/photos/womens-hand-charm-bracelet_925x.jpg,
origami-crane-necklace,1,https://burst.shopifycdn.com/photos/origami-crane-necklace-gold_925x.jpg,
origami-crane-necklace,2,https://burst.shopifycdn.com/photos/silver-origami-necklace_925x.jpg,
origami-crane-necklace,3,https://burst.shopifycdn.com/photos/origami-crane-necklace_925x.jpg,
origami-crane-necklace,4,https://burst.shopifycdn.com/photos/womens-green-turtleneck_925x.jpg,
pretty-gold-necklace,1,https://burst.shopifycdn.com/photos/pretty-gold-necklace_925x.jpg,
pretty-gold-necklace,2,https://burst.shopifycdn.com/photos/necklace-earrings-set_925x.jpg,
pretty-gold-necklace,3,https://burst.shopifycdn.com/photos/inspired-woman_925x.jpg,
silver-threader-necklace,1,https://burst.shopifycdn.com/photos/silver-threader-necklace_925x.jpg,
silver-threader-necklace,2,https://burst.shopifycdn.com/photos/threader-necklace-closeup_925x.jpg,
stylish-summer-neclace,1,https://burst.shopifycdn.com/photos/stylish-summer-necklace_925x.jpg,
ocean-blue-shirt,1,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,
classic-varsity-top,1,https://burst.shopifycdn.com/photos/casual-fashion-woman_925x.jpg,
yellow-wool-jumper,1,https://burst.shopifycdn.com/photos/autumn-photographer-taking-picture_925x.jpg,
floral-white-top,1,https://burst.shopifycdn.com/photos/city-woman-fashion_925x@2x.jpg,
striped-silk-blouse,1,https://burst.shopifycdn.com/photos/striped-blouse-fashion_925x.jpg,
classic-leather-jacket,1,https://burst.shopifycdn.com/photos/leather-jacket-and-tea_925x.jpg,
dark-denim-top,1,https://burst.shopifycdn.com/photos/young-female-models-denim_925x.jpg,
navy-sport-jacket,1,https://burst.shopifycdn.com/photos/mens-fall-fashion-jacket_925x.jpg,
dark-winter-jacket,1,https://burst.shopifycdn.com/photos/smiling-woman-on-snowy-afternoon_925x.jpg,
black-leather-bag,1,https://burst.shopifycdn.com/photos/black-bag-over-the-shoulder_925x.jpg,
zipped-jacket,1,https://burst.shopifycdn.com/photos/menswear-blue-zip-up-jacket_925x.jpg,
silk-summer-top,1,https://burst.shopifycdn.com/photos/young-hip-woman-at-carnival_925x.jpg,
longsleeve-cotton-top,1,https://burst.shopifycdn.com/photos/woman-outside-brownstone_925x.jpg,
chequered-red-shirt,1,https://burst.shopifycdn.com/photos/red-plaid-shirt_925x.jpg,
white-cotton-shirt,1,https://burst.shopifycdn.com/photos/smiling-woman-poses_925x.jpg,
olive-green-jacket,1,https://burst.shopifycdn.com/photos/urban-fashion_925x.jpg,
blue-silk-tuxedo,1,https://burst.shopifycdn.com/photos/man-adjusts-blue-tuxedo-bowtie_925x.jpg,
red-sports-tee,1,https://burst.shopifycdn.com/photos/womens-red-t-shirt_925x.jpg,
striped-skirt-and-top,1,https://burst.shopifycdn.com/photos/woman-in-the-city_925x.jpg,
led-high-tops,1,https://burst.shopifycdn.com/photos/putting-on-your-shoes_925x.jpg,
clay-plant-pot,1,https://burst.shopifycdn.com/photos/single-sprout-in-a-pot_925x.jpg,
clay-plant-pot,2,https://burst.shopifycdn.com/photos/pot-with-a-single-sprout_925x.jpg,
copper-light,1,https://burst.shopifycdn.com/photos/copper-light-in-bedroom_925x.jpg,
cream-sofa,1,https://burst.shopifycdn.com/photos/condominium-interior-livingroom_925x.jpg,
antique-drawers,1,https://burst.shopifycdn.com/photos/babys-room_925x.jpg,
white-bed-clothes,1,https://burst.shopifycdn.com/photos/bright-hotel-room-bed_925x.jpg,
pink-armchair,1,https://burst.shopifycdn.com/photos/soft-pink-cushioned-armchair-in-stately-salon_925x.jpg,
wooden-outdoor-table,1,https://burst.shopifycdn.com/photos/cafe-patio_925x.jpg,
brown-throw-pillows,1,https://burst.shopifycdn.com/photos/bedroom-bed-with-brown-throw-pillows_925x.jpg,
white-ceramic-pot,1,https://burst.shopifycdn.com/photos/house-plant-in-white-pot_925x.jpg,
yellow-watering-can,1,https://burst.shopifycdn.com/photos/flowers-in-yellow-watering-can_925x.jpg,
